sub_title_id,all_vv,platform_vv,vv_share,week_start_date,week_end_date,target_week_start_date,target_week_end_date,popularity_tag
1971005665,680,63467800,0.00107141,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1260084766,680,63467800,0.00107141,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1260015267,680,63467800,0.00107141,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1971007791,680,63467800,0.00107141,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1971001408,680,63467800,0.00107141,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1971003679,679,63467800,0.00106983,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1260003555,678,63467800,0.00106826,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1271424177,677,63467800,0.00106668,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1260040680,677,63467800,0.00106668,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1971002694,675,63467800,0.00106353,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1971002638,675,63467800,0.00106353,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1971007560,674,63467800,0.00106196,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1000097072,674,63467800,0.00106196,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1000067442,673,63467800,0.00106038,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1271432590,673,63467800,0.00106038,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1271510804,673,63467800,0.00106038,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1971007705,673,63467800,0.00106038,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1971007519,672,63467800,0.0010588,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1971000907,672,63467800,0.0010588,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1000233907,672,63467800,0.0010588,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1770015388,671,63467800,0.00105723,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1260003606,671,63467800,0.00105723,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1000067905,668,63467800,0.0010525,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1260135301,668,63467800,0.0010525,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1260116086,666,63467800,0.00104935,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1000067443,666,63467800,0.00104935,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1260157717,666,63467800,0.00104935,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1971007861,665,63467800,0.00104778,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1260042900,665,63467800,0.00104778,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1971004552,664,63467800,0.0010462,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1971007737,663,63467800,0.00104462,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1000154804,663,63467800,0.00104462,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1000068753,662,63467800,0.00104305,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1271436153,661,63467800,0.00104147,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1000063694,660,63467800,0.0010399,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1000061393,660,63467800,0.0010399,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1000026118,659,63467800,0.00103832,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1260040517,659,63467800,0.00103832,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1000110303,659,63467800,0.00103832,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1971001753,658,63467800,0.00103675,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1971001746,657,63467800,0.00103517,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1971006181,656,63467800,0.00103359,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1000067441,656,63467800,0.00103359,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1971004418,655,63467800,0.00103202,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1260058837,655,63467800,0.00103202,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1260065103,654,63467800,0.00103044,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1000058597,654,63467800,0.00103044,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1000082378,654,63467800,0.00103044,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1971001548,653,63467800,0.00102887,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1971003767,651,63467800,0.00102572,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1271329960,651,63467800,0.00102572,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1271510217,651,63467800,0.00102572,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1260009579,650,63467800,0.00102414,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1971002539,650,63467800,0.00102414,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1260091482,650,63467800,0.00102414,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1971001658,650,63467800,0.00102414,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1271423515,648,63467800,0.00102099,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1971003531,648,63467800,0.00102099,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1000062692,647,63467800,0.00101941,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1000064123,647,63467800,0.00101941,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1271439103,647,63467800,0.00101941,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1260060329,647,63467800,0.00101941,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
