sub_title_id,popularity_tag
1971003517,High
1971002157,High
14455,High
1971002073,High
1260022017,High
1271508620,High
586,High
1271516565,High
655,High
1271517265,High
1271512804,High
1260000603,High
1971311993,High
1260129356,High
1260154100,High
1271344464,High
1271439238,High
1271270408,High
15457,High
1271388570,High
1271510714,High
1260142021,High
1271442668,High
1271499005,High
1260116347,High
1260124795,High
1271339098,High
1260126890,High
1271463159,High
1271516957,High
1260021004,High
1971002586,High
1271516442,High
1971003338,High
1271516484,High
1271506722,High
1271461808,High
1271512680,High
1271515997,High
1271511297,High
1260020929,High
1971002880,High
1271499938,High
1271511602,High
1271374152,High
1271509950,High
1260129377,High
1260129361,High
1271509557,High
1260157253,High
1271445458,High
4207,High
1271500544,High
1271431858,High
1271517786,Medium
1260167204,Medium
14714,Medium
1271497851,Medium
435,Medium
1271515075,Medium
1271321451,Medium
1271419298,Medium
1271514010,Medium
1260060916,Medium
1271462482,Medium
1271325513,Medium
1271318357,Medium
1584,Medium
1271450687,Medium
1271515647,Medium
3,Medium
1770000948,Medium
1260141539,Medium
1271374981,Medium
1971003555,Medium
1971003519,Medium
1260168540,Medium
1260168231,Medium
1260000646,Medium
1271443322,Medium
1260005217,Medium
11773,Medium
1271515282,Medium
1271388292,Medium
1260170331,Medium
1260158955,Medium
1271511286,Medium
1271513248,Medium
1271515416,Medium
1271461634,Medium
1271430869,Medium
1271448301,Medium
1271442794,Medium
1271513684,Medium
1271453262,Medium
1260084876,Medium
1271513578,Medium
1971000776,Medium
1271421564,Medium
8549,Medium
1271386412,Medium
1971000613,Medium
1271374082,Medium
1271271207,Medium
1271512557,Medium
1271514863,Medium
1271437800,Medium
467,Medium
1271515219,Medium
1271447766,Medium
1271397840,Medium
1271415927,Medium
1271328975,Medium
1271396039,Medium
81,Medium
1260043179,Medium
1271430354,Medium
1271331614,Medium
527,Medium
1260017510,Medium
1271271200,Medium
1971002851,Medium
1271464113,Medium
1260028094,Medium
1271416761,Medium
1271440673,Medium
1260161273,Medium
1260041452,Medium
1271317617,Medium
1260014924,Medium
1260052109,Medium
1271511366,Medium
1271447393,Medium
1271501975,Medium
1271437574,Medium
12,Medium
1271461024,Medium
1271450558,Medium
1271320425,Medium
1271510521,Medium
7050,Medium
1271507324,Medium
1271460815,Medium
1260081755,Medium
1971003380,Medium
1271332461,Medium
1271406019,Medium
1271295279,Medium
1271411562,Medium
1271513669,Medium
376,Medium
1260014263,Medium
1971000398,Medium
1260153659,Medium
1271446449,Medium
1271326881,Medium
1271449661,Medium
1260022894,Medium
1271268815,Medium
1260013556,Medium
9567,Medium
1260003964,Medium
761,Medium
1271427882,Medium
1271316088,Medium
1271440424,Medium
1971002038,Medium
1971000518,Medium
1271516357,Medium
1971000631,Medium
1271447484,Medium
1971002674,Medium
1271307377,Medium
1260148008,Medium
1271409284,Medium
3943,Medium
1271460102,Medium
1971003167,Medium
1271326340,Medium
1271507244,Medium
1260157997,Medium
1271337440,Medium
1271502570,Medium
1260077458,Medium
1971000409,Medium
693,Medium
1271411338,Medium
1271449668,Medium
1260097964,Medium
1271396600,Medium
1271392717,Medium
1660010677,Medium
1271506672,Medium
1271498017,Medium
1271342833,Medium
1271305785,Medium
1971000505,Medium
1260111156,Medium
1271501809,Medium
1271406275,Medium
1271437983,Medium
1971011082,Medium
1971001569,Medium
1260143875,Medium
1271516427,Medium
1260156406,Medium
1971003164,Medium
1271461367,Medium
1271461819,Medium
1271423966,Medium
1271421425,Medium
1971311975,Medium
1260013779,Medium
1271513272,Medium
1260108691,Medium
1260069641,Medium
1271331643,Medium
1271319625,Medium
1971002373,Medium
1678,Medium
1271513304,Medium
1260065373,Medium
1271325416,Medium
1260123526,Medium
1271317574,Medium
1260013771,Medium
1271326855,Medium
1260147613,Medium
1271513572,Medium
1971311468,Medium
1971000405,Medium
1260127842,Medium
7202,Medium
